bucket_id,bucket_start,bucket_end,keyword_occurrences,paper_count
0,0.0000,0.0200,54901,16376
2,0.0400,0.0600,101878,26669
3,0.0600,0.0800,54810,16397
4,0.0800,0.1000,117495,29801
5,0.1000,0.1200,49406,16064
6,0.1200,0.1400,68875,26902
7,0.1400,0.1600,38729,13456
8,0.1600,0.1800,4436,2580
9,0.1800,0.2000,21733,11271
10,0.2000,0.2200,3253,1866
11,0.2200,0.2400,1080,629
12,0.2400,0.2600,2180,1681
13,0.2600,0.2800,2175,942
14,0.2800,0.3000,85,83
15,0.3000,0.3200,1013,765
16,0.3200,0.3400,77,75
18,0.3600,0.3800,114,108
