bucket_id,bucket_start,bucket_end,keyword_occurrences,paper_count
6,0.3000,0.3500,3,1
7,0.3500,0.4000,30,5
8,0.4000,0.4500,64,12
9,0.4500,0.5000,268,45
10,0.5000,0.5500,755,133
11,0.5500,0.6000,2951,554
12,0.6000,0.6500,17155,3215
13,0.6500,0.7000,82207,14210
14,0.7000,0.7500,177046,32542
15,0.7500,0.8000,139534,30638
16,0.8000,0.8500,69560,22362
17,0.8500,0.9000,23847,11163
18,0.9000,0.9500,6547,4050
19,0.9500,1.0000,1823,1207
20,1.0000,1.0500,374,319
21,1.0500,1.1000,70,65
22,1.1000,1.1500,6,6
