keyword,total_occurrences,paper_frequency,avg_physics_boost,max_physics_boost,avg_score,avg_base_score
dark matter neutrino,3,3,0.3600,0.3600,1.0940,0.7340
plasma phase transition,2,2,0.3600,0.3600,1.1040,0.7440
phase transition topological,2,2,0.3600,0.3600,1.0382,0.6782
fermionic dark matter,2,2,0.3600,0.3600,1.0270,0.6670
renormalization group quantum,2,2,0.3600,0.3600,1.0230,0.6630
holographic phase transitions,2,2,0.3600,0.3600,1.0128,0.6528
phase transition heisenberg,2,2,0.3600,0.3600,0.9895,0.6295
dark gauge fields,1,1,0.3600,0.3600,1.0999,0.7399
fermion dark matter,1,1,0.3600,0.3600,1.0987,0.7387
cosmology dark matter,1,1,0.3600,0.3600,1.0706,0.7106
phase transition lattice,1,1,0.3600,0.3600,1.0547,0.6947
renormalization gauge fields,1,1,0.3600,0.3600,1.0542,0.6942
dark matter holographic,1,1,0.3600,0.3600,1.0515,0.6915
higgs dark matter,1,1,0.3600,0.3600,1.0430,0.6830
phase transitions thermodynamics,1,1,0.3600,0.3600,1.0408,0.6808
scattering quantum hall,1,1,0.3600,0.3600,1.0368,0.6768
photon dark matter,1,1,0.3600,0.3600,1.0363,0.6763
holographic dark matter,1,1,0.3600,0.3600,1.0360,0.6760
quantum hall phase,1,1,0.3600,0.3600,1.0339,0.6739
gravity dark matter,1,1,0.3600,0.3600,1.0271,0.6671
relativity dark matter,1,1,0.3600,0.3600,1.0059,0.6459
phase transitions adiabatic,1,1,0.3600,0.3600,0.9932,0.6332
fermionic renormalization group,1,1,0.3600,0.3600,0.9817,0.6217
phase transitions fluid,1,1,0.3600,0.3600,0.9771,0.6171
phase transition magnetic,1,1,0.3600,0.3600,0.9631,0.6031
dark matter higgs,4,4,0.3500,0.3600,1.0562,0.7062
dark matter gauge,2,2,0.3400,0.3600,1.0350,0.6950
dark matter cosmology,2,2,0.3400,0.3600,1.0161,0.6761
phase transition quantum,5,5,0.3360,0.3600,0.9779,0.6419
superconducting phase transitions,3,3,0.3333,0.3600,0.9857,0.6524
phase transitions quantum,4,4,0.3300,0.3600,0.9792,0.6492
particle dark matter,6,6,0.3267,0.3600,0.9807,0.6540
neutrino dark matter,5,5,0.3200,0.3600,1.0021,0.6821
phase transition holographic,3,3,0.3200,0.3600,0.9510,0.6310
phase transitions nuclear,2,2,0.3200,0.3600,1.0007,0.6807
spin gauge field,2,2,0.3200,0.3600,0.9757,0.6557
renormalization group renormalization,1,1,0.3200,0.3200,1.0940,0.7740
phase transitions symmetry,1,1,0.3200,0.3200,1.0480,0.7280
spectroscopy phase transitions,1,1,0.3200,0.3200,1.0286,0.7086
boson dark matter,1,1,0.3200,0.3200,1.0160,0.6960
phase transitions magnetic,1,1,0.3200,0.3200,1.0049,0.6849
dark matter scattering,1,1,0.3200,0.3200,0.9909,0.6709
phase transitions spin,1,1,0.3200,0.3200,0.9861,0.6661
phase transition electron,1,1,0.3200,0.3200,0.9599,0.6399
inflation dark matter,1,1,0.3200,0.3200,0.9370,0.6170
dark matter particle,15,15,0.3120,0.3600,1.0002,0.6882
quantum phase transitions,70,70,0.3103,0.3600,1.0002,0.6899
topological phase transition,5,5,0.3040,0.3600,0.9923,0.6883
dark matter caustics,4,4,0.3000,0.3000,1.0089,0.7089
dark matter light,4,4,0.3000,0.3000,0.9912,0.6912
