keyword,total_occurrences,paper_frequency,paper_prevalence_pct,avg_score,avg_base_score,avg_physics_boost,avg_rank,best_rank,worst_rank,min_ngram,max_ngram
quantum,1179,1179,3.3989,0.7135,0.6173,0.0962,2.86,1,15,1,1
dark matter,832,832,2.3985,0.8571,0.6417,0.2154,1.52,1,6,2,2
phase transition,670,670,1.9315,0.8370,0.6328,0.2041,1.73,1,8,2,2
magnetic field,559,559,1.6115,0.7289,0.6295,0.0994,5.25,1,15,2,2
ground state,524,524,1.5106,0.7439,0.6142,0.1297,3.63,1,15,2,2
fermion,410,410,1.1820,0.7345,0.6656,0.0689,1.89,1,15,1,1
gravity,365,365,1.0522,0.7196,0.6292,0.0904,2.96,1,15,1,1
dark energy,363,363,1.0465,0.7630,0.6505,0.1125,3.69,1,15,2,2
neutrino,330,330,0.9513,0.7302,0.6404,0.0898,1.88,1,15,1,1
gauge theory,328,328,0.9456,0.7918,0.7039,0.0879,2.61,1,15,2,2
phase transitions,324,324,0.9340,0.8672,0.6520,0.2152,1.50,1,6,2,2
renormalization group,321,321,0.9254,0.8612,0.6581,0.2031,1.64,1,7,2,2
hadron,299,299,0.8620,0.7371,0.6645,0.0726,1.81,1,15,1,1
perturbation theory,297,297,0.8562,0.7426,0.6614,0.0811,4.68,1,15,2,2
cosmology,293,293,0.8447,0.7265,0.6414,0.0851,2.59,1,15,1,1
relativity,281,281,0.8101,0.7206,0.6436,0.0771,3.36,1,15,1,1
star formation,275,275,0.7928,0.7243,0.6657,0.0586,4.73,1,15,2,2
quantum mechanics,262,262,0.7553,0.7580,0.6513,0.1067,4.17,1,15,2,2
mean field,248,248,0.7149,0.7383,0.6056,0.1327,3.82,1,15,2,2
gluon,247,247,0.7121,0.7341,0.7228,0.0113,1.62,1,14,1,1
black holes,243,243,0.7005,0.7214,0.6450,0.0764,4.87,1,15,2,2
collider,239,239,0.6890,0.7332,0.7240,0.0092,2.30,1,15,1,1
quantum gravity,234,234,0.6746,0.8140,0.6532,0.1609,2.46,1,13,2,2
symmetry breaking,219,219,0.6313,0.7617,0.6637,0.0980,3.69,1,15,2,2
entropy,218,218,0.6285,0.7132,0.6273,0.0859,3.28,1,15,1,1
density functional theory,215,215,0.6198,0.8058,0.6579,0.1479,6.44,1,15,3,3
higgs boson,211,211,0.6083,0.8370,0.6766,0.1604,2.71,1,9,2,2
quantum information,206,206,0.5939,0.7643,0.6694,0.0950,3.70,1,15,2,2
scattering,205,205,0.5910,0.7213,0.6315,0.0899,2.01,1,15,1,1
quark,202,202,0.5823,0.7216,0.6378,0.0838,2.23,1,15,1,1
magnetic,195,195,0.5622,0.7092,0.6148,0.0945,2.89,1,15,1,1
spectroscopy,194,194,0.5593,0.7231,0.6334,0.0897,2.64,1,15,1,1
quantum field theory,190,190,0.5477,0.7941,0.6909,0.1032,8.77,1,15,3,3
quantum phase,189,189,0.5449,0.8189,0.6587,0.1602,2.68,1,7,2,2
gauge theories,184,184,0.5304,0.7943,0.6965,0.0978,2.90,1,14,2,2
cosmic rays,184,184,0.5304,0.7592,0.6623,0.0970,3.39,1,15,2,2
magnetic fields,184,184,0.5304,0.7387,0.6326,0.1061,4.76,1,15,2,2
ray emission,183,183,0.5276,0.7084,0.6845,0.0238,5.73,1,15,2,2
tevatron,182,182,0.5247,0.7520,0.7378,0.0143,1.76,1,15,1,1
muon,182,182,0.5247,0.7435,0.7310,0.0125,1.73,1,13,1,1
meson,181,181,0.5218,0.7135,0.6338,0.0797,3.05,1,15,1,1
black hole,179,179,0.5160,0.7178,0.6429,0.0749,6.19,1,15,2,2
molecular dynamics,177,177,0.5103,0.7490,0.6596,0.0894,3.98,1,15,2,2
lepton,173,173,0.4987,0.7299,0.7149,0.0150,2.27,1,15,1,1
lattice qcd,172,172,0.4958,0.7962,0.6864,0.1098,2.82,1,15,2,2
parton,171,171,0.4930,0.7366,0.7188,0.0178,1.80,1,15,1,1
supergravity,167,167,0.4814,0.7304,0.7101,0.0204,1.86,1,15,1,1
general relativity,165,165,0.4757,0.7356,0.6460,0.0896,5.73,1,15,2,2
quantum field,163,163,0.4699,0.7530,0.6535,0.0995,4.04,1,15,2,2
quantum theory,158,158,0.4555,0.7748,0.6801,0.0947,2.78,1,15,2,2
